条目ID,登记名称,目录名称,目录状态,卷,部,目录分类,条目类型,研究深度,登记状态,证据截止日,Jev实际模型,Jev推理版本,Jev示例版本,运行时间UTC,摘要SHA256,Mapping文件,Jev原始结果文件,四气选择,四气选择置信度,四气_寒_概率,四气_凉_概率,四气_平_概率,四气_温_概率,四气_热_概率,五味_酸_Noul得分,五味_苦_Noul得分,五味_甘_Noul得分,五味_辛_Noul得分,五味_咸_Noul得分,归经_心经_Noul得分,归经_肝经_Noul得分,归经_脾经_Noul得分,归经_肺经_Noul得分,归经_肾经_Noul得分,心经_主方向选择,心经_方向选择置信度,心经_阴-_概率,心经_阴+_概率,心经_阳-_概率,心经_阳+_概率,肝经_主方向选择,肝经_方向选择置信度,肝经_阴-_概率,肝经_阴+_概率,肝经_阳-_概率,肝经_阳+_概率,脾经_主方向选择,脾经_方向选择置信度,脾经_阴-_概率,脾经_阴+_概率,脾经_阳-_概率,脾经_阳+_概率,肺经_主方向选择,肺经_方向选择置信度,肺经_阴-_概率,肺经_阴+_概率,肺经_阳-_概率,肺经_阳+_概率,肾经_主方向选择,肾经_方向选择置信度,肾经_阴-_概率,肾经_阴+_概率,肾经_阳-_概率,肾经_阳+_概率
sweet-breakfast-cereal,甜味麦片,甜味麦片,正式目录,卷六,谷物主食部,面包与早餐谷物,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:23:34.361924+00:00,12b8558fa8b4a29898369abf7a2e79dd5cd56773749998df6e3f9e444c2b481f,references/entries/sweet-breakfast-cereal/mapping.md,qa/jev-entry-batches/19-breads-and-breakfast-grains/raw/sweet-breakfast-cereal.json,平,0.99,0,0,1,0,0,0.04,0.03,0.5,0.04,0.06,0.04,0.03,0.11,0.04,0.04,阳+,0.2,0.26,0.15,0.19,0.4,阴-,0.2,0.4,0.04,0.35,0.21,阳+,0.47,0.28,0.08,0.03,0.61,阴-,0.28,0.45,0.22,0.15,0.18,阴-,0.38,0.54,0.14,0.09,0.23
instant-oatmeal,即食燕麦,即食燕麦,正式目录,卷六,谷物主食部,面包与早餐谷物,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:23:34.754734+00:00,d2be1e0a2af02e49b6f7f7b904a2d5396887c50b740209cbc402eb7d3e96bba5,references/entries/instant-oatmeal/mapping.md,qa/jev-entry-batches/19-breads-and-breakfast-grains/raw/instant-oatmeal.json,平,0.99,0,0,0.99,0.01,0,0.05,0.04,0.4,0.05,0.06,0.05,0.04,0.23,0.06,0.05,阳+,0.23,0.18,0.19,0.21,0.42,阴-,0.22,0.41,0.12,0.23,0.24,阳+,0.61,0.19,0.09,0.01,0.71,阴+,0.28,0.31,0.46,0.04,0.19,阴-,0.24,0.43,0.34,0.04,0.19
overnight-oats,隔夜燕麦,隔夜燕麦,正式目录,卷六,谷物主食部,面包与早餐谷物,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:23:35.158478+00:00,193136c0701d07bbd499902f563bf335d46d73fe64b1c8bfc8b2c8f0e10e309a,references/entries/overnight-oats/mapping.md,qa/jev-entry-batches/19-breads-and-breakfast-grains/raw/overnight-oats.json,平,0.96,0.01,0.02,0.97,0,0,0.05,0.04,0.34,0.04,0.04,0.05,0.04,0.18,0.05,0.05,阳-,0.24,0.2,0.16,0.43,0.21,阴-,0.19,0.4,0.12,0.35,0.13,阳+,0.48,0.24,0.12,0.03,0.61,阴+,0.27,0.35,0.45,0.09,0.11,阴-,0.27,0.45,0.36,0.08,0.11
quinoa,藜麦,藜麦,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:34.665583+00:00,af2ccee2d0d2cd1adcf03579b17b2c43e8e53f407313f232d974e9febcc7642a,references/entries/quinoa/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/quinoa.json,平,1,0,0,1,0,0,0.05,0.05,0.29,0.05,0.05,0.06,0.08,0.18,0.05,0.07,阴-,0.1,0.33,0.17,0.18,0.32,阴-,0.42,0.56,0.07,0.26,0.1,阳+,0.51,0.28,0.08,0.01,0.63,阴-,0.23,0.42,0.35,0.04,0.19,阴-,0.3,0.48,0.34,0.05,0.13
oat-groats,燕麦米,燕麦米,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:35.110376+00:00,56e0bd71175a24810a9eae43685a7127a5bad5057840f903f2c0fb9ab6e3de5f,references/entries/oat-groats/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/oat-groats.json,平,0.99,0,0,0.99,0.01,0,0.06,0.05,0.43,0.06,0.05,0.06,0.05,0.24,0.06,0.06,阳+,0.2,0.18,0.21,0.2,0.41000000000000003,阴-,0.24,0.42,0.1,0.23,0.25,阳+,0.7,0.14,0.08,0.01,0.77,阴+,0.26,0.31,0.45,0.04,0.2,阴-,0.25,0.44,0.31,0.03,0.22
buckwheat-noodles,荞麦面,荞麦面,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:35.461059+00:00,ae2118f1cbff127cf2a4965755626d7a79869fd74671355fc37273c175f43d87,references/entries/buckwheat-noodles/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/buckwheat-noodles.json,平,0.95,0.01,0.03,0.96,0,0,0.07,0.1,0.33,0.08,0.06,0.06,0.07,0.16,0.06,0.06,阳-,0.37,0.26,0.06,0.53,0.15,阳-,0.4,0.36,0.04,0.55,0.05,阳+,0.22,0.37,0.02,0.2,0.41,阴-,0.26,0.45,0.12,0.36,0.07,阴-,0.34,0.51,0.12,0.28,0.09
whole-wheat-pasta,全麦意面,全麦意面,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:35.847198+00:00,e0e66494b54a4187d1ecaad43cf4c760a8e13190dbb100a122bb021bec3c02e6,references/entries/whole-wheat-pasta/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/whole-wheat-pasta.json,平,0.99,0,0,0.99,0.01,0,0.05,0.04,0.34,0.06,0.05,0.04,0.05,0.19,0.07,0.05,阳+,0.29,0.25,0.08,0.2,0.47,阴-,0.21,0.41,0.05,0.3,0.24,阳+,0.65,0.22,0.03,0.01,0.74,阴-,0.21,0.39999999999999997,0.21,0.07,0.32,阴-,0.31,0.48,0.19,0.07,0.26
brown-rice,糙米饭,糙米饭,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:36.201456+00:00,a43f6e9ae75ec911dcc01863ff9163c247146a6979a3e7ccb306726e10dd5811,references/entries/brown-rice/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/brown-rice.json,平,0.98,0,0,0.99,0.01,0,0.05,0.05,0.52,0.05,0.05,0.05,0.05,0.33,0.06,0.07,阳+,0.18,0.2,0.12,0.3,0.38,阴-,0.24,0.43,0.07,0.28,0.22,阳+,0.63,0.19,0.05,0.04,0.72,阴-,0.14,0.36,0.26,0.06,0.32,阴-,0.21,0.4,0.26,0.07,0.27
mixed-grain-rice,杂粮饭,杂粮饭,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:36.580107+00:00,825564321bd38b912704b2716e3689cfaf3be4cc7ee1709c42dd6d3622cfd0af,references/entries/mixed-grain-rice/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/mixed-grain-rice.json,平,0.99,0,0,1,0,0,0.05,0.05,0.36,0.05,0.05,0.05,0.05,0.21,0.05,0.06,阳+,0.12,0.28,0.05,0.33,0.34,阴-,0.29,0.47,0.04,0.3,0.19,阳+,0.48,0.33,0.02,0.04,0.61,阴-,0.21,0.41,0.13,0.16,0.3,阴-,0.34,0.51,0.12,0.18,0.19
hummus,鹰嘴豆泥,鹰嘴豆泥,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:37.016631+00:00,57fac60d88969683e30abe11dbf951cdb674b98a9b663627793ca39599e9e792,references/entries/hummus/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/hummus.json,平,1,0,0,1,0,0,0.11,0.05,0.18,0.15,0.51,0.05,0.06,0.17,0.04,0.05,阳+,0.09,0.29,0.13,0.26,0.32,阴-,0.34,0.51,0.1,0.15,0.24,阳+,0.53,0.26,0.08,0.02,0.64,阴-,0.33,0.5,0.18,0.12,0.2,阴-,0.31,0.48,0.24,0.05,0.23
chickpea-pasta,鹰嘴豆面,鹰嘴豆面,正式目录,卷六,谷物主食部,全谷、杂粮与豆类主食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:37.364066+00:00,dd0a5ff33d22338c7296e7d04ccac4867f5f2b5bb72c5b1abab09b186c4a06e3,references/entries/chickpea-pasta/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/chickpea-pasta.json,平,0.99,0,0,1,0,0,0.05,0.05,0.22,0.05,0.05,0.05,0.05,0.18,0.05,0.05,阴-,0.1,0.32,0.09,0.31,0.28,阴-,0.33,0.49,0.07,0.26,0.18,阳+,0.41,0.35,0.07,0.03,0.55,阴-,0.31,0.48,0.16,0.18,0.18,阴-,0.44,0.59,0.19,0.07,0.15
italian-pasta,意大利面,意大利面,正式目录,卷六,谷物主食部,米面制品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:37.729669+00:00,24f6f731ce7976a80e9113a456ede7e8df84dd44e8c07af251c0bdcbc11065b6,references/entries/italian-pasta/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/italian-pasta.json,平,0.99,0,0,0.99,0.01,0,0.05,0.04,0.33,0.05,0.04,0.04,0.04,0.18,0.06,0.04,阳+,0.28,0.22,0.06,0.26,0.46,阴-,0.24,0.44,0.03,0.25,0.28,阳+,0.72,0.17,0.03,0.01,0.79,阴-,0.17,0.38,0.18,0.12,0.32,阴-,0.26,0.45,0.15,0.09,0.31
udon,乌冬面,乌冬面,正式目录,卷六,谷物主食部,米面制品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:37:38.106497+00:00,102f2902d6412e17ae22bce45a7dceadf783c815c21fa7153941dd99b479def1,references/entries/udon/mapping.md,qa/jev-entry-batches/20-grains-rice-pasta-legumes/raw/udon.json,平,0.99,0,0,0.99,0.01,0,0.05,0.04,0.32,0.06,0.16,0.05,0.05,0.22,0.06,0.05,阳+,0.17,0.29,0.05,0.29,0.37,阴-,0.21,0.41,0.03,0.4,0.16,阳+,0.53,0.23,0.03,0.09,0.65,阴-,0.24,0.44,0.14,0.18,0.24,阴-,0.52,0.64,0.07,0.14,0.15
ramen,拉面,拉面,正式目录,卷六,谷物主食部,米面制品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:11.538200+00:00,654e6e6696496915b6a99c9a1b8a40cf83d4011ae3dd78ea566115d6e508ede7,references/entries/ramen/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/ramen.json,平,0.99,0,0,0.99,0.01,0,0.04,0.04,0.13,0.07,0.16,0.04,0.04,0.1,0.05,0.04,阳+,0.24,0.26,0.04,0.27,0.43,阳-,0.19,0.39,0.02,0.4,0.19,阳+,0.61,0.24,0.03,0.02,0.71,阴-,0.31,0.49,0.11,0.14,0.26,阴-,0.39,0.54,0.05,0.15,0.26
chilled-soba,荞麦冷面,荞麦冷面,正式目录,卷六,谷物主食部,米面制品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:12.040683+00:00,9d7ffe02cb1e3cd305fcfae37430609b6327e8d08eb3b6e998226279d4a29c2b,references/entries/chilled-soba/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/chilled-soba.json,平,0.57,0.03,0.31,0.66,0,0,0.07,0.07,0.21,0.08,0.13,0.05,0.05,0.12,0.06,0.05,阳-,0.25,0.3,0.06,0.44,0.2,阴-,0.32,0.49,0.04,0.39,0.08,阴-,0.28,0.46,0.02,0.06,0.46,阴-,0.31,0.49,0.17,0.27,0.07,阴-,0.46,0.59,0.11,0.19,0.11
rice-vermicelli,米线,米线,正式目录,卷六,谷物主食部,米面制品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:12.346759+00:00,9e1bc21de9fd4ef92da850f81d6081d91521a7c9a5360b8f64f1934f80c3e54d,references/entries/rice-vermicelli/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/rice-vermicelli.json,平,1,0,0,1,0,0,0.04,0.04,0.33,0.05,0.07,0.04,0.04,0.19,0.05,0.05,阳+,0.27,0.25,0.1,0.2,0.45,阴-,0.31,0.48,0.05,0.24,0.23,阳+,0.7,0.18,0.04,0.01,0.77,阴-,0.18,0.39,0.25,0.08,0.28,阴-,0.28,0.46,0.16,0.06,0.32
ho-fun,河粉,河粉,正式目录,卷六,谷物主食部,米面制品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:12.673759+00:00,49aebd3dc2ae224e248e4ab2ab23acc3e67c962cee8ab79259e79f8712641ccf,references/entries/ho-fun/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/ho-fun.json,平,1,0,0,1,0,0,0.04,0.04,0.23,0.05,0.07,0.04,0.04,0.11,0.05,0.04,阳+,0.15,0.3,0.08,0.26,0.36,阴-,0.31,0.48,0.04,0.31,0.17,阳+,0.53,0.28,0.05,0.02,0.65,阴-,0.25,0.43,0.19,0.15,0.23,阴-,0.5,0.63,0.12,0.08,0.17
luosifen,螺蛳粉,螺蛳粉,正式目录,卷六,谷物主食部,米面制品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:12.987755+00:00,bd9eff1a771e50303847f184fd23359ba3a20f23ba7674b91c93439b7686cc52,references/entries/luosifen/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/luosifen.json,平,0.93,0,0,0.94,0.03,0.03,0.22,0.06,0.11,0.27,0.16,0.05,0.05,0.09,0.05,0.04,阳+,0.23,0.29,0.02,0.27,0.42,阴-,0.23,0.42,0.02,0.4,0.16,阳+,0.32,0.45,0.02,0.04,0.49,阴-,0.36,0.52,0.07,0.26,0.15,阴-,0.45,0.59,0.04,0.11,0.26
hot-sour-vermicelli,酸辣粉,酸辣粉,正式目录,卷六,谷物主食部,米面制品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:13.322376+00:00,1af294f0bac1cd4a093127077c2b18e325ac1a8fa70d72fc9366ea7a2ae43ce2,references/entries/hot-sour-vermicelli/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/hot-sour-vermicelli.json,平,0.89,0,0,0.91,0.06,0.03,0.36,0.05,0.15,0.4,0.15,0.05,0.07,0.11,0.05,0.05,阳+,0.25,0.27,0.03,0.27,0.43,阳-,0.26,0.38,0.02,0.45,0.15,阴-,0.3,0.47,0.03,0.03,0.47,阴-,0.34,0.5,0.09,0.23,0.18,阴-,0.44,0.59,0.04,0.09,0.28
instant-vermicelli,方便粉丝,方便粉丝,正式目录,卷六,谷物主食部,米面制品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:13.633113+00:00,2bfa572d45652d0b150914bc59baea34ca8b19e0c79286d9f894328ba77295b7,references/entries/instant-vermicelli/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/instant-vermicelli.json,平,1,0,0,1,0,0,0.04,0.04,0.17,0.06,0.11,0.04,0.05,0.1,0.05,0.04,阴-,0.15,0.36,0.06,0.26,0.32,阴-,0.32,0.49,0.05,0.35,0.11,阳+,0.44,0.36,0.04,0.02,0.58,阴-,0.42,0.5700000000000001,0.15,0.12,0.16,阴-,0.49,0.62,0.11,0.1,0.17
instant-noodles,方便面,方便面,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen,2026-09-23,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:13.947756+00:00,4f4c4536c72bfa949487b19d5ceb732602ce5e3cbfa3a371fc9d24fbaeb17db4,references/entries/instant-noodles/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/instant-noodles.json,平,0.98,0,0,0.99,0.01,0,0.04,0.04,0.09,0.07,0.3,0.04,0.04,0.09,0.05,0.06,阳+,0.14,0.32,0.02,0.3,0.36,阴-,0.27,0.46,0.02,0.36,0.16,阳+,0.34,0.44,0.02,0.03,0.51,阴-,0.41,0.55,0.05,0.16,0.23,阴-,0.58,0.69,0.03,0.11,0.17
cup-noodles,杯面,杯面,正式目录,卷七,速食与零食部,方便食品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:14.269838+00:00,103a1f875482f9e2cd0bef8f4013d72aeee21e31d7ea9a10ef9c1497ea13e239,references/entries/cup-noodles/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/cup-noodles.json,平,0.98,0,0,0.99,0.01,0,0.04,0.04,0.1,0.07,0.21,0.04,0.03,0.07,0.04,0.04,阳+,0.22,0.27,0.03,0.28,0.42,阴-,0.25,0.44,0.02,0.4,0.14,阳+,0.32,0.45,0.02,0.04,0.49,阴-,0.34,0.5,0.07,0.22,0.21,阴-,0.43,0.57,0.04,0.16,0.23
self-heating-rice,自热米饭,自热米饭,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T06:52:14.563836+00:00,32d0d383b4e6d1e305b66a3c97b9b50047c5551ef153b333a8381a7580d52c83,references/entries/self-heating-rice/mapping.md,qa/jev-entry-batches/21-noodles-instant-meals/raw/self-heating-rice.json,平,0.98,0,0,0.99,0,0.01,0.04,0.04,0.12,0.06,0.12,0.04,0.04,0.08,0.04,0.04,阳+,0.21,0.21,0.03,0.35,0.41000000000000003,阳-,0.23,0.42,0.02,0.42,0.14,阳+,0.48,0.32,0.03,0.03,0.62,阴-,0.28,0.46,0.09,0.23,0.22,阴-,0.37,0.52,0.04,0.15,0.29
self-heating-hotpot,自热火锅,自热火锅,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:02.788979+00:00,cb3dd2be120fcedd5ae56e3af811db7093c7b47fea3aa56e220a0c456b7eaef4,references/entries/self-heating-hotpot/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/self-heating-hotpot.json,平,0.95,0,0,0.96,0,0.04,0.04,0.04,0.08,0.07,0.1,0.04,0.04,0.06,0.04,0.04,阳+,0.28,0.16,0.02,0.36,0.46,阳-,0.27,0.36,0.02,0.44,0.18,阳+,0.36,0.37,0.02,0.08,0.53,阴-,0.23,0.42,0.05,0.29,0.24,阳+,0.2,0.38,0.03,0.18,0.41000000000000003
frozen-dumplings,速冻水饺,速冻水饺,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:03.176300+00:00,66b9d1e634f0382d3e84a1b2793672f8a9774354b7054a984993e185ed234f80,references/entries/frozen-dumplings/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/frozen-dumplings.json,平,0.99,0,0,1,0,0,0.04,0.04,0.16,0.06,0.12,0.04,0.04,0.12,0.04,0.04,阳+,0.35,0.22,0.04,0.22,0.52,阴-,0.25,0.45,0.02,0.31,0.22,阳+,0.62,0.25,0.02,0.02,0.71,阴-,0.26,0.44,0.06,0.1,0.4,阴-,0.34,0.51,0.06,0.08,0.35
frozen-wontons,速冻馄饨,速冻馄饨,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:03.562762+00:00,f183a32a12acec8acf50313538259250e06edf2cfa79743849ded895f3bf486a,references/entries/frozen-wontons/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/frozen-wontons.json,平,0.99,0,0,0.99,0.01,0,0.04,0.04,0.12,0.06,0.14,0.04,0.03,0.09,0.04,0.04,阳+,0.33,0.22,0.05,0.23,0.5,阳-,0.2,0.39,0.02,0.4,0.19,阳+,0.54,0.3,0.02,0.02,0.66,阴-,0.22,0.42,0.09,0.14,0.35,阴-,0.37,0.53,0.07,0.08,0.32
frozen-pizza,速冻披萨,速冻披萨,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:03.925348+00:00,6da5b3a038d7e923041880d645e2b3675a2e80815fb63efaba8b2157ae1def23,references/entries/frozen-pizza/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/frozen-pizza.json,平,0.98,0,0,0.98,0.01,0.01,0.06,0.04,0.1,0.08,0.31,0.04,0.04,0.07,0.04,0.04,阳+,0.15,0.31,0.03,0.3,0.36,阴-,0.29,0.47,0.02,0.38,0.13,阴-,0.32,0.48,0.02,0.07,0.43,阴-,0.33,0.5,0.04,0.22,0.24,阴-,0.51,0.63,0.04,0.13,0.2
microwave-lunchbox,微波便当,微波便当,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:04.292409+00:00,f80ebc957958c9f8f9704be851e158a3ba7df0b45b188aa1d47cacd19987a67b,references/entries/microwave-lunchbox/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/microwave-lunchbox.json,平,0.99,0,0,1,0,0,0.04,0.04,0.07,0.05,0.13,0.04,0.03,0.06,0.03,0.04,阳+,0.18,0.22,0.03,0.37,0.38,阳-,0.33,0.36,0.02,0.49,0.13,阳+,0.34,0.42,0.03,0.05,0.5,阴-,0.26,0.44,0.07,0.29,0.2,阴-,0.43,0.57,0.05,0.13,0.25
prepared-rice-bowl,预制盖饭,预制盖饭,正式目录,卷七,速食与零食部,方便食品,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:04.627248+00:00,6a1428d62c24b06eaf5851f965874cf620eaf35b92097cc11b666ebddb23037a,references/entries/prepared-rice-bowl/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/prepared-rice-bowl.json,平,0.99,0,0,1,0,0,0.04,0.04,0.21,0.04,0.11,0.04,0.03,0.09,0.04,0.04,阳+,0.31,0.21,0.04,0.27,0.48,阳-,0.26,0.37,0.02,0.44,0.17,阳+,0.61,0.24,0.03,0.02,0.71,阴-,0.22,0.41,0.14,0.15,0.3,阴-,0.37,0.52,0.07,0.1,0.31
potato-chips,薯片,薯片,正式目录,卷七,速食与零食部,膨化与脆食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:04.998884+00:00,f625e9d3898acd7a4f0b2cf77b78f274ae56c65986db1ce43ec2b563272b0fd8,references/entries/potato-chips/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/potato-chips.json,平,0.9,0,0,0.92,0.04,0.04,0.05,0.05,0.18,0.08,0.22,0.05,0.05,0.13,0.04,0.04,阳+,0.3,0.26,0.02,0.24,0.48,阴-,0.2,0.4,0.02,0.3,0.28,阳+,0.42,0.35,0.02,0.06,0.57,阴-,0.34,0.5,0.05,0.22,0.23,阴-,0.44,0.58,0.03,0.12,0.27
french-fries,薯条,薯条,正式目录,卷七,速食与零食部,膨化与脆食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:05.354098+00:00,befda9675782e63f8089ffe0f84c0717937761290b9a55cd50d2df016c76e6ec,references/entries/french-fries/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/french-fries.json,平,0.83,0,0,0.86,0.05,0.09,0.04,0.04,0.22,0.06,0.17,0.05,0.05,0.11,0.04,0.05,阳+,0.21,0.32,0.03,0.24,0.41,阴-,0.28,0.45,0.02,0.29,0.24,阳+,0.49,0.32,0.03,0.03,0.62,阴-,0.36,0.53,0.06,0.19,0.22,阴-,0.38,0.54,0.05,0.13,0.28
corn-chips,玉米脆片,玉米脆片,正式目录,卷七,速食与零食部,膨化与脆食,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-25T07:07:05.712033+00:00,cbc05d3a2af3c9a3adeaf5c1f45f658445f3de21f6e78a16d6f7ac9998b0dea3,references/entries/corn-chips/mapping.md,qa/jev-entry-batches/22-prepared-foods-crisps/raw/corn-chips.json,平,0.98,0,0,0.99,0,0.01,0.04,0.04,0.13,0.07,0.46,0.05,0.04,0.12,0.04,0.04,阳-,0.14,0.31,0.04,0.35,0.3,阴-,0.23,0.43,0.02,0.36,0.19,阳+,0.36,0.33,0.02,0.12,0.53,阴-,0.34,0.5,0.09,0.2,0.21,阴-,0.48,0.61,0.07,0.12,0.2
